FIELD OF STUDY NAME,CF FIELD OF STUDY RELATED ID,,,CF FIELD OF STUDY ID,CF FIELD OF STUDY NAME,,Latest Field of study 03/08/2022,Has been assigned,,LEVEL OF STUDY NAME,CF LEVEL OF STUDY RELATED ID,,CF LEVEL OF STUDY ID,CF LEVEL OF STUDY NAME,,Latest Level of study 03/08/2022,Has been assigned
interdisciplinary women's and gender studies,sociology,,,,,,interdisciplinary women's and gender studies,TRUE,,,,,,,,,
international master's programme in industrial ecology (mind),environmental_studies_and_forestry,,,,,,international master's programme in industrial ecology (mind),TRUE,,,,,,,,,
interpretation,linguistics_and_languages,,,,,,interpretation,TRUE,,,,,,,,,
latin,linguistics_and_languages,,,,,,latin,TRUE,,,,,,,,,
linguistics,linguistics_and_languages,,,,,,linguistics,TRUE,,,,,,,,,
musicology,literature_arts,,,,,,musicology,TRUE,,,,,,,,,
naturwissenschaften,physics,,,,,,naturwissenschaften,TRUE,,,,,,,,,
political and empirical economics,political_science,,,,,,political and empirical economics,TRUE,,,,,,,,,
"political, economic and legal philosophy (pelp)",political_science,,,,,,"political, economic and legal philosophy (pelp)",TRUE,,,,,,,,,
rechtswissenschaften,law,,,,,,rechtswissenschaften,TRUE,,,,,,,,,
romance studies,literature_arts,,,,,,romance studies,TRUE,,,,,,,,,
russian,linguistics_and_languages,,,,,,russian,TRUE,,,,,,,,,
"schwerpunkt: accounting, steuerlehre, rechnungslegung oder finanzrecht",finance,,,,,,"schwerpunkt: accounting, steuerlehre, rechnungslegung oder finanzrecht",TRUE,,,,,,,,,
slovenian,linguistics_and_languages,,,,,,slovenian,TRUE,,,,,,,,,
social pedagogy,education,,,,,,social pedagogy,TRUE,,,,,,,,,
space sciences and earth from space,space_sciences,,,,,,space sciences and earth from space,TRUE,,,,,,,,,
sport science and kinesiology,medicine,,,,,,sport science and kinesiology,TRUE,,,,,,,,,
sports sciences and kinesiology,medicine,,,,,,sports sciences and kinesiology,TRUE,,,,,,,,,
sprachwissenschaften,linguistics_and_languages,,,,,,sprachwissenschaften,TRUE,,,,,,,,,
sustainable urban and regional development,environmental_studies_and_forestry,,,,,,sustainable urban and regional development,TRUE,,,,,,,,,
teacher training programme for secondary level general education,education,,,,,,teacher training programme for secondary level general education,TRUE,,,,,,,,,
transcultural communication,linguistics_and_languages,,,,,,transcultural communication,TRUE,,,,,,,,,
translation and dialogue interpreting,linguistics_and_languages,,,,,,translation and dialogue interpreting,TRUE,,,,,,,,,
world religions,religion,,,,,,world religions,TRUE,,,,,,,,,
bildungswissenschaften,education,,,,,,bildungswissenschaften,TRUE,,,,,,,,,
fashion,luxury_fashion,,,,,,fashion,TRUE,,,,,,,,,
fashion design,luxury_fashion,,,,,,fashion design,TRUE,,,,,,,,,
fashion management,luxury_fashion,,,,,,fashion management,TRUE,,,,,,,,,
technical product development,mechanical_engineering,,,,,,technical product development,TRUE,,,,,,,,,
3d product development,mechanical_engineering,,,,,,3d product development,TRUE,,,,,,,,,
textile engineering,luxury_fashion,,,,,,textile engineering,TRUE,,,,,,,,,
grafic design,journalism_media_studies_and_communication,,,,,,grafic design,TRUE,,,,,,,,,
buying & sourcing,business_administration_economics,,,,,,buying & sourcing,TRUE,,,,,,,,,
e-commerce,business_administration_economics,,,,,,e-commerce,TRUE,,,,,,,,,
data analysis,computer_science,,,,,,data analysis,TRUE,,,,,,,,,
digital strategy,computer_science,,,,,,digital strategy,TRUE,,,,,,,,,
sales,business_administration_economics,,,,,,sales,TRUE,,,,,,,,,
visual merchandising / visual design,journalism_media_studies_and_communication,,,,,,visual merchandising / visual design,TRUE,,,,,,,,,
merchandising / planning & allocation,business_administration_economics,,,,,,merchandising / planning & allocation,TRUE,,,,,,,,,
cycle préparatoire en anglais,linguistics_and_languages,,,,,,cycle préparatoire en anglais,TRUE,,,,,,,,,
cycle préparatoire en français,linguistics_and_languages,,,,,,cycle préparatoire en français,TRUE,,,,,,,,,
ingénieur du numérique,computer_science,,,,,,ingénieur du numérique,TRUE,,,,,,,,,
ingénieur en gestion des risques & environnement,environmental_studies_and_forestry,,,,,,ingénieur en gestion des risques & environnement,TRUE,,,,,,,,,
"ingénieur en sécurité, environnement et prévention des risques",environmental_studies_and_forestry,,,,,,"ingénieur en sécurité, environnement et prévention des risques",TRUE,,,,,,,,,
research with neutrons and muons,physics,,,,,,research with neutrons and muons,TRUE,,,,,,,,,
photon science,physics,,,,,,photon science,TRUE,,,,,,,,,
nuclear energy and safety,physics,,,,,,nuclear energy and safety,TRUE,,,,,,,,,
biology and chemistry,life_sciences,,,,,,biology and chemistry,TRUE,,,,,,,,,
building science and technology,civil_engineering,,,,,,building science and technology,TRUE,,,,,,,,,
chemistry and chemical engineering,chemistry,,,,,,chemistry and chemical engineering,TRUE,,,,,,,,,
data,computer_science,,,,,,data,TRUE,,,,,,,,,
development,computer_science,,,,,,development,TRUE,,,,,,,,,
risk,business_administration_economics,,,,,,risk,TRUE,,,,,,,,,
econometrics,business_administration_economics,,,,,,econometrics,TRUE,,,,,,,,,
erasmus school of economics,business_administration_economics,,,,,,erasmus school of economics,TRUE,,,,,,,,,
erasmus school of health policy & management,medicine,,,,,,erasmus school of health policy & management,TRUE,,,,,,,,,
"erasmus school of history, culture and communication",history,,,,,,"erasmus school of history, culture and communication",TRUE,,,,,,,,,
erasmus school of law,medicine,,,,,,erasmus school of law,TRUE,,,,,,,,,
erasmus school of philosophy,law,,,,,,erasmus school of philosophy,TRUE,,,,,,,,,
erasmus school of social and behavioural sciences,sociology,,,,,,erasmus school of social and behavioural sciences,TRUE,,,,,,,,,
erasmus university college,other,,,,,,erasmus university college,TRUE,,,,,,,,,
all fields of study,other,,,,,,all fields of study,TRUE,,,,,,,,,
faculty of geosciences,earth_sciences,,,,,,faculty of geosciences,TRUE,,,,,,,,,
faculty of humanities,literature_arts,,,,,,faculty of humanities,TRUE,,,,,,,,,
"faculty of law, economics and governance",law,,,,,,"faculty of law, economics and governance",TRUE,,,,,,,,,
faculty of science,physics,,,,,,faculty of science,TRUE,,,,,,,,,
faculty of social and behavioural sciences,sociology,,,,,,faculty of social and behavioural sciences,TRUE,,,,,,,,,
faculty of veterinary medicine,medicine,,,,,,faculty of veterinary medicine,TRUE,,,,,,,,,
university college,other,,,,,,university college,TRUE,,,,,,,,,
banque & finance,finance,,,,,,banque & finance,TRUE,,,,,,,,,
anderes,other,,,,,,anderes,TRUE,,,,,,,,,
angewandte linguistik,linguistics_and_languages,,,,,,angewandte linguistik,TRUE,,,,,,,,,
angewandte psychologie,psychology,,,,,,angewandte psychologie,TRUE,,,,,,,,,
"architektur, gestaltung, bauingenieurwesen",architecture_and_design,,,,,,"architektur, gestaltung, bauingenieurwesen",TRUE,,,,,,,,,
gesundheit,medicine,,,,,,gesundheit,TRUE,,,,,,,,,
life sciences und facility management,life_sciences,,,,,,life sciences und facility management,TRUE,,,,,,,,,
school of engineering,mechanical_engineering,,,,,,school of engineering,TRUE,,,,,,,,,
school of management and law,business_administration_economics,,,,,,school of management and law,TRUE,,,,,,,,,
soziale arbeit,sociology,,,,,,soziale arbeit,TRUE,,,,,,,,,
"chemie, lebensmittelchemie",chemistry,,,,,,"chemie, lebensmittelchemie",TRUE,,,,,,,,,
"geschichte, kunst- und musikwissenschaft",history,,,,,,"geschichte, kunst- und musikwissenschaft",TRUE,,,,,,,,,
hydrowissenschaften,earth_sciences,,,,,,hydrowissenschaften,TRUE,,,,,,,,,
informationssystemtechnik,electrical_engineering,,,,,,informationssystemtechnik,TRUE,,,,,,,,,
katholische theologie,religion,,,,,,katholische theologie,TRUE,,,,,,,,,
kommunikationswissenschaft,journalism_media_studies_and_communication,,,,,,kommunikationswissenschaft,TRUE,,,,,,,,,
molekulare biologie und biotechnologie,life_sciences,,,,,,molekulare biologie und biotechnologie,TRUE,,,,,,,,,
politikwissenschaft,political_science,,,,,,politikwissenschaft,TRUE,,,,,,,,,
regenerative energiesysteme,mechanical_engineering,,,,,,regenerative energiesysteme,TRUE,,,,,,,,,
sozialpädagogik,sociology,,,,,,sozialpädagogik,TRUE,,,,,,,,,
soziologie,sociology,,,,,,soziologie,TRUE,,,,,,,,,
"sprach-, literatur- und kulturwissenschaften",linguistics_and_languages,,,,,,"sprach-, literatur- und kulturwissenschaften",TRUE,,,,,,,,,
verfahrenstechnik und naturstofftechnik,mechanical_engineering,,,,,,verfahrenstechnik und naturstofftechnik,TRUE,,,,,,,,,
verkehrswirtschaft,mechanical_engineering,,,,,,verkehrswirtschaft,TRUE,,,,,,,,,
werkstoffwissenschaft,materials_science_and_engineering,,,,,,werkstoffwissenschaft,TRUE,,,,,,,,,
wirtschaftsmathematik,mathematics,,,,,,wirtschaftsmathematik,TRUE,,,,,,,,,
wirtschaftspädagogik,education,,,,,,wirtschaftspädagogik,TRUE,,,,,,,,,
umweltwissenschaften,environmental_studies_and_forestry,,,,,,umweltwissenschaften,TRUE,,,,,,,,,
ethonology,sociology,,,,,,ethonology,TRUE,,,,,,,,,
computational engineering science,computer_science,,,,,,computational engineering science,TRUE,,,,,,,,,
"electrical engineering, information technology and technical computer science",electrical_engineering,,,,,,"electrical engineering, information technology and technical computer science",TRUE,,,,,,,,,
management and engineering (various specialisations),business_administration_economics,,,,,,management and engineering (various specialisations),TRUE,,,,,,,,,
metallurgical engineering,materials_science_and_engineering,,,,,,metallurgical engineering,TRUE,,,,,,,,,
process technology,mechanical_engineering,,,,,,process technology,TRUE,,,,,,,,,
software systems engineering,computer_science,,,,,,software systems engineering,TRUE,,,,,,,,,
architecture and built environment,architecture_and_design,,,,,,architecture and built environment,TRUE,,,,,,,,,
automatic control,mechanical_engineering,,,,,,automatic control,TRUE,,,,,,,,,
building and environmental technology,environmental_studies_and_forestry,,,,,,building and environmental technology,TRUE,,,,,,,,,
centre for mathematical sciences,mathematics,,,,,,centre for mathematical sciences,TRUE,,,,,,,,,
construction sciences,civil_engineering,,,,,,construction sciences,TRUE,,,,,,,,,
design sciences,architecture_and_design,,,,,,design sciences,TRUE,,,,,,,,,
energy sciences,physics,,,,,,energy sciences,TRUE,,,,,,,,,
"food technology, engineering and nutrition",life_sciences,,,,,,"food technology, engineering and nutrition",TRUE,,,,,,,,,
immunotechnology,medicine,,,,,,immunotechnology,TRUE,,,,,,,,,
industrial management and logistics,mechanical_engineering,,,,,,industrial management and logistics,TRUE,,,,,,,,,
school of aviation,mechanical_engineering,,,,,,school of aviation,TRUE,,,,,,,,,
technology and society,mechanical_engineering,,,,,,technology and society,TRUE,,,,,,,,,
electronics,electrical_engineering,,,,,,electronics,TRUE,,,,,,,,,
material science,materials_science_and_engineering,,,,,,material science,TRUE,,,,,,,,,
radiofrequency,physics,,,,,,radiofrequency,TRUE,,,,,,,,,
real estate management,business_administration_economics,,,,,,real estate management,TRUE,,,,,,,,,
human resources,business_administration_economics,,,,,,human resources,TRUE,,,,,,,,,
controlling,finance,,,,,,controlling,TRUE,,,,,,,,,
building technology / energy,civil_engineering,,,,,,building technology / energy,TRUE,,,,,,,,,
aeronautics,mechanical_engineering,,,,,,aeronautics,TRUE,,,,,,,,,
bioengineering,life_sciences,,,,,,bioengineering,TRUE,,,,,,,,,
civil and environmental engineering,civil_engineering,,,,,,civil and environmental engineering,TRUE,,,,,,,,,
computing,computer_science,,,,,,computing,TRUE,,,,,,,,,
dyson school of design engineering,architecture_and_design,,,,,,dyson school of design engineering,TRUE,,,,,,,,,
earth science and engineering,earth_sciences,,,,,,earth science and engineering,TRUE,,,,,,,,,
environmental technology,environmental_studies_and_forestry,,,,,,environmental technology,TRUE,,,,,,,,,
materials,materials_science_and_engineering,,,,,,materials,TRUE,,,,,,,,,
science communication unit,journalism_media_studies_and_communication,,,,,,science communication unit,TRUE,,,,,,,,,
"bio-, chemie und pharmaingenieurwesen",life_sciences,,,,,,academic diploma program skema x berkeley global,TRUE,,,,,,,,,
biologie / biotechnologie,life_sciences,,,,,,artificial intelligence for business transformation,TRUE,,,,,,,,,
english studies,linguistics_and_languages,,,,,,bba in business administration,TRUE,,,,,,,,,
erziehungswissenschaften,education,,,,,,bba in global management,TRUE,,,,,,,,,
finanz- und wirtschaftsmathematik,mathematics,,,,,,bba in international business,TRUE,,,,,,,,,
germanistik,linguistics_and_languages,,,,,,entrepreneurship and sustainable design,TRUE,,,,,,,,,
geschichte und kunstwissenschaft,history,,,,,,"ms auditing, management accounting & information systems",TRUE,,,,,,,,,
informations-systemtechnik,computer_science,,,,,,ms corporate fiscal management,TRUE,,,,,,,,,
lebensmittelchemie,chemistry,,,,,,ms marketing data & e-commerce,TRUE,,,,,,,,,
medienwissenschaften,journalism_media_studies_and_communication,,,,,,ms project and programme management & business development,TRUE,,,,,,,,,
musik,literature_arts,,,,,,ms supply chain management and purchasing,TRUE,,,,,,,,,
sport,other,,,,,,ms wealth management,TRUE,,,,,,,,,
umweltingenieurwesen,environmental_studies_and_forestry,,,,,,"msc auditing, management accounting & information systems",TRUE,,,,,,,,,
umweltnaturwissenschaften,environmental_studies_and_forestry,,,,,,msc business consulting and digital transformation,TRUE,,,,,,,,,
informationstechnik,computer_science,,,,,,msc corporate financial management,TRUE,,,,,,,,,
applied physics,physics,,,,,,"msc digital business, data analysis and management",TRUE,,,,,,,,,
built environment,civil_engineering,,,,,,msc digital marketing,TRUE,,,,,,,,,
chemical engineering and chemistry,chemistry,,,,,,msc entrepreneurship & innovation,TRUE,,,,,,,,,
industrial engineering & innovation sciences,mechanical_engineering,,,,,,msc financial markets & investments,TRUE,,,,,,,,,
mathematics and computer science,computer_science,,,,,,msc global luxury and management,TRUE,,,,,,,,,
engineering (other),mechanical_engineering,,,,,,msc international business,TRUE,,,,,,,,,
computer science & mathematics,computer_science,,,,,,msc international human resources & performance management,TRUE,,,,,,,,,
economics & management,business_administration_economics,,,,,,msc international marketing & business development,TRUE,,,,,,,,,
environment & sustainability,environmental_studies_and_forestry,,,,,,msc international strategy & influence,TRUE,,,,,,,,,
health care,medicine,,,,,,msc luxury & fashion management,TRUE,,,,,,,,,
humanities & social sciences,sociology,,,,,,msc luxury hospitality and innovation,TRUE,,,,,,,,,
business information systems,business_engineering,,,,,,msc project and programme management & business development,TRUE,,,,,,,,,
energy and co2 optimisation of construction projects,civil_engineering,,,,,,msc strategic event management & tourism management,TRUE,,,,,,,,,
energy and environmental technology,physics,,,,,,msc supply chain management & purchasing,TRUE,,,,,,,,,
geomatics,mathematics,,,,,,msc sustainable finance & fintech,TRUE,,,,,,,,,
international business management (trinational),business_administration_economics,,,,,,master in management (grande ecole programme),TRUE,,,,,,,,,
mechatronics trinational,mechanical_engineering,,,,,,triple master loyola x skema x lmu,TRUE,,,,,,,,,
medical informatics,computer_science,,,,,,phd in business administration,TRUE,,,,,,,,,
optometry,physics,,,,,,dba in project and programme management,TRUE,,,,,,,,,
technology for sustainable construction,civil_engineering,,,,,,master 2 research in management & innovation,TRUE,,,,,,,,,
medicin,medicine,,,,,,"bio-, chemie und pharmaingenieurwesen",TRUE,,,,,,,,,
sustainability studies,environmental_studies_and_forestry,,,,,,biologie / biotechnologie,TRUE,,,,,,,,,
political studies,political_science,,,,,,english studies,TRUE,,,,,,,,,
anthropology and sociology,sociology,,,,,,erziehungswissenschaften,TRUE,,,,,,,,,
international development,business_administration_economics,,,,,,finanz- und wirtschaftsmathematik,TRUE,,,,,,,,,
international economics,business_administration_economics,,,,,,germanistik,TRUE,,,,,,,,,
international history,history,,,,,,geschichte und kunstwissenschaft,TRUE,,,,,,,,,
international law,law,,,,,,informations-systemtechnik,TRUE,,,,,,,,,
international relations and political science,political_science,,,,,,lebensmittelchemie,TRUE,,,,,,,,,
"faculty 1 – mathematics, computer science and natural sciences",computer_science,,,,,,medienwissenschaften,TRUE,,,,,,,,,
faculty 10 – medicine,medicine,,,,,,musik,TRUE,,,,,,,,,
faculty 2 – architecture,architecture_and_design,,,,,,sport,TRUE,,,,,,,,,
faculty 3 – civil engineering,civil_engineering,,,,,,umweltingenieurwesen,TRUE,,,,,,,,,
faculty 4 – mechanical engineering,mechanical_engineering,,,,,,umweltnaturwissenschaften,TRUE,,,,,,,,,
faculty 5 – georesources and materials engineering,materials_science_and_engineering,,,,,,informationstechnik,TRUE,,,,,,,,,
faculty 6 – electrical engineering and information technology,electrical_engineering,,,,,,applied physics,TRUE,,,,,,,,,
faculty 7 – arts and humanities,literature_arts,,,,,,built environment,TRUE,,,,,,,,,
faculty 8 – school of business and economics,business_administration_economics,,,,,,chemical engineering and chemistry,TRUE,,,,,,,,,
civil engineering sciences and construction management,civil_engineering,,,,,,industrial engineering & innovation sciences,TRUE,,,,,,,,,
electrical engineering and audio engineering,electrical_engineering,,,,,,mathematics and computer science,TRUE,,,,,,,,,
geodesy,physics,,,,,,engineering (other),TRUE,,,,,,,,,
information and computer engineering,computer_science,,,,,,computer science & mathematics,TRUE,,,,,,,,,
mechanical engineering and business economics,mechanical_engineering,,,,,,economics & management,TRUE,,,,,,,,,
software engineering and management,computer_science,,,,,,environment & sustainability,TRUE,,,,,,,,,
archaeology,archaeology,,,,,,health care,TRUE,,,,,,,,,
art history and musicology,literature_arts,,,,,,humanities & social sciences,TRUE,,,,,,,,,
management and economics,business_administration_economics,,,,,,business information systems,TRUE,,,,,,,,,
languages and literatures,linguistics_and_languages,,,,,,energy and co2 optimisation of construction projects,TRUE,,,,,,,,,
historical sciences,history,,,,,,energy and environmental technology,TRUE,,,,,,,,,
exact and natural sciences,physics,,,,,,geomatics,TRUE,,,,,,,,,
medical and sport science,medicine,,,,,,international business management (trinational),TRUE,,,,,,,,,
digitalisation and computer science,computer_science,,,,,,mechatronics trinational,TRUE,,,,,,,,,
teacher education for secondary level,education,,,,,,medical informatics,TRUE,,,,,,,,,
communication and media research,journalism_media_studies_and_communication,,,,,,optometry,TRUE,,,,,,,,,
multilingualism and foreign language education,linguistics_and_languages,,,,,,technology for sustainable construction,TRUE,,,,,,,,,
interdisciplinary,other,,,,,,medicin,TRUE,,,,,,,,,
management & technology,business_administration_economics,,,,,,sustainability studies,TRUE,,,,,,,,,
chemical and biotechnology,chemistry,,,,,,political studies,TRUE,,,,,,,,,
shipping and transport logistics,business_administration_economics,,,,,,anthropology and sociology,TRUE,,,,,,,,,
technical design,architecture_and_design,,,,,,international development,TRUE,,,,,,,,,
automation and mechatronics,mechanical_engineering,,,,,,international economics,TRUE,,,,,,,,,
computer technology,computer_science,,,,,,international history,TRUE,,,,,,,,,
software engineering,computer_science,,,,,,international law,TRUE,,,,,,,,,
medical technology,medicine,,,,,,international relations and political science,TRUE,,,,,,,,,
engineering mathematics,mathematics,,,,,,"faculty 1 – mathematics, computer science and natural sciences",TRUE,,,,,,,,,
economics and production technology,business_administration_economics,,,,,,faculty 10 – medicine,TRUE,,,,,,,,,
global systems,systems_science,,,,,,faculty 2 – architecture,TRUE,,,,,,,,,
computational science,computer_science,,,,,,faculty 3 – civil engineering,TRUE,,,,,,,,,
health studies,medicine,,,,,,faculty 4 – mechanical engineering,TRUE,,,,,,,,,
humanities,literature_arts,,,,,,faculty 5 – georesources and materials engineering,TRUE,,,,,,,,,
informatics,computer_science,,,,,,faculty 6 – electrical engineering and information technology,TRUE,,,,,,,,,
"italian language, literature and culture",linguistics_and_languages,,,,,,faculty 7 – arts and humanities,TRUE,,,,,,,,,
management and marketing,business_administration_economics,,,,,,faculty 8 – school of business and economics,TRUE,,,,,,,,,
political economy,sociology,,,,,,civil engineering sciences and construction management,TRUE,,,,,,,,,
cancer biology and oncology,medicine,,,,,,electrical engineering and audio engineering,TRUE,,,,,,,,,
cardiovascular sciences,medicine,,,,,,geodesy,TRUE,,,,,,,,,
drug sciences,medicine,,,,,,information and computer engineering,TRUE,,,,,,,,,
immunology and cell biology,medicine,,,,,,mechanical engineering and business economics,TRUE,,,,,,,,,
arts,linguistics_and_languages,,,,,,software engineering and management,TRUE,,,,,,,,,
behavioural and social sciences,sociology,,,,,,archaeology,TRUE,,,,,,,,,
economics and business,business_administration_economics,,,,,,art history and musicology,TRUE,,,,,,,,,
medical sciences,medicine,,,,,,management and economics,TRUE,,,,,,,,,
science and engineering,mechanical_engineering,,,,,,languages and literatures,TRUE,,,,,,,,,
spatial sciences,space_sciences,,,,,,historical sciences,TRUE,,,,,,,,,
theology and religious studies,religion,,,,,,exact and natural sciences,TRUE,,,,,,,,,
university college groningen,other,,,,,,medical and sport science,TRUE,,,,,,,,,
phyiscs,physics,,,,,,digitalisation and computer science,TRUE,,,,,,,,,
"robotics, systems and control",electrical_engineering,,,,,,teacher education for secondary level,TRUE,,,,,,,,,
audit,finance,,,,,,communication and media research,TRUE,,,,,,,,,
project management,business_administration_economics,,,,,,multilingualism and foreign language education,TRUE,,,,,,,,,
accounting and controlling,finance,,,,,,interdisciplinary,TRUE,,,,,,,,,
business law,business_administration_economics,,,,,,management & technology,TRUE,,,,,,,,,
innovation and entrepreneurship,business_administration_economics,,,,,,bachelor - filière alternance,TRUE,,,,,,,,,
management and law,business_administration_economics,,,,,,bachelor - option international business,TRUE,,,,,,,,,
pharmaceutical,medicine,,,,,,bachelor - option logistique et commerce international,TRUE,,,,,,,,,
biomedical laboratory science,life_sciences,,,,,,bachelor management international,TRUE,,,,,,,,,
design,architecture_and_design,,,,,,m2 audit et finance d'entreprise,TRUE,,,,,,,,,
energy and environmental science technology,environmental_studies_and_forestry,,,,,,ms manager des ressources humaines,TRUE,,,,,,,,,
aeronautical engineering,mechanical_engineering,,,,,,"ms marketing, communication et ingénierie des produits agroalimentaires",TRUE,,,,,,,,,
graphics design and communication,journalism_media_studies_and_communication,,,,,,ms sciences et management de la filière équine,TRUE,,,,,,,,,
information technology,computer_science,,,,,,ms str@tégies de développement & territoires,TRUE,,,,,,,,,
chemical biology,chemistry,,,,,,ms stratégie marketing et développement commercial,TRUE,,,,,,,,,
media technology,journalism_media_studies_and_communication,,,,,,"ms supply chain, logistique et innovations",TRUE,,,,,,,,,
furniture design,other,,,,,,msc artificial intelligence for marketing strategy,TRUE,,,,,,,,,
furniture conservation,other,,,,,,"msc banking, finance and fintech",TRUE,,,,,,,,,
cabinetmaking,other,,,,,,msc financial data management,TRUE,,,,,,,,,
upholstery,other,,,,,,msc international events management,TRUE,,,,,,,,,
process industry management,mechanical_engineering,,,,,,msc international logistics and port management,TRUE,,,,,,,,,
product development,business_administration_economics,,,,,,msc international marketing and business development,TRUE,,,,,,,,,
programming,computer_science,,,,,,msc marketing and digital in luxury and lifestyle,TRUE,,,,,,,,,
technology and social change,sociology,,,,,,msc supply chain management,TRUE,,,,,,,,,
engineering biology,life_sciences,,,,,,programme grande école,TRUE,,,,,,,,,
applied physics and electrical engineering,physics,,,,,,année optionnelle,TRUE,,,,,,,,,
transportation systems engineering,mechanical_engineering,,,,,,chemical and biotechnology,TRUE,,,,,,,,,
architektur und stadtplanung,architecture_and_design,,,,,,shipping and transport logistics,TRUE,,,,,,,,,
bewegungswissenschaft,medicine,,,,,,technical design,TRUE,,,,,,,,,
chemie- und bioingenieurwesen,life_sciences,,,,,,automation and mechatronics,TRUE,,,,,,,,,
elektrotechnik und informationstechnik,electrical_engineering,,,,,,computer technology,TRUE,,,,,,,,,
erneuerbare energien,physics,,,,,,software engineering,TRUE,,,,,,,,,
fahrzeug- und motorentechnik,mechanical_engineering,,,,,,medical technology,TRUE,,,,,,,,,
geodäsie und geoinformatik,earth_sciences,,,,,,engineering mathematics,TRUE,,,,,,,,,
geschichte,history,,,,,,economics and production technology,TRUE,,,,,,,,,
immobilientechnik und immobilienwirtschaft,business_administration_economics,,,,,,global systems,TRUE,,,,,,,,,
kunstgeschichte,literature_arts,,,,,,computational science,TRUE,,,,,,,,,
luft- und raumfahrttechnik,space_sciences,,,,,,health studies,TRUE,,,,,,,,,
maschinelle sprachverarbeitung,computer_science,,,,,,humanities,TRUE,,,,,,,,,
politikwissenschaften,political_science,,,,,,informatics,TRUE,,,,,,,,,
simulation technology,computer_science,,,,,,"italian language, literature and culture",TRUE,,,,,,,,,
softwaretechnik,computer_science,,,,,,management and marketing,TRUE,,,,,,,,,
sprachen und linguistik,linguistics_and_languages,,,,,,political economy,TRUE,,,,,,,,,
technische biologie,life_sciences,,,,,,cancer biology and oncology,TRUE,,,,,,,,,
technische kybernetik,computer_science,,,,,,cardiovascular sciences,TRUE,,,,,,,,,
technologiemanagement,business_administration_economics,,,,,,drug sciences,TRUE,,,,,,,,,
umweltschutztechnik,environmental_studies_and_forestry,,,,,,immunology and cell biology,TRUE,,,,,,,,,
maths,mathematics,,,,,,arts,TRUE,,,,,,,,,
physics and applied physics,physics,,,,,,behavioural and social sciences,TRUE,,,,,,,,,
"accounting, audit, controlling",finance,,,,,,economics and business,TRUE,,,,,,,,,
others,other,,,,,,medical sciences,TRUE,,,,,,,,,
"business administration, management and economics",business_administration_economics,,,,,,science and engineering,TRUE,,,,,,,,,
"informatik, wirtschaftsinformatik, computer science",computer_science,,,,,,spatial sciences,TRUE,,,,,,,,,
ingenieurwesen & wirtschaftsingenieurwesen,business_engineering,,,,,,theology and religious studies,TRUE,,,,,,,,,
"law, wirtschaftsrecht",law,,,,,,university college groningen,TRUE,,,,,,,,,
natural science,physics,,,,,,phyiscs,TRUE,,,,,,,,,
law & economics,law,,,,,,"robotics, systems and control",TRUE,,,,,,,,,
"accounting, control and finance",finance,,,,,,audit,TRUE,,,,,,,,,
computing science,computer_science,,,,,,project management,TRUE,,,,,,,,,
physics and applied mathematics,physics,,,,,,accounting and controlling,TRUE,,,,,,,,,
electronic and computer engineering,electrical_engineering,,,,,,business law,TRUE,,,,,,,,,
electrical power engineering,electrical_engineering,,,,,,innovation and entrepreneurship,TRUE,,,,,,,,,
biology and earthscience,life_sciences,,,,,,management and law,TRUE,,,,,,,,,
environmental health,medicine,,,,,,pharmaceutical,TRUE,,,,,,,,,
aviation,space_sciences,,,,,,biomedical laboratory science,TRUE,,,,,,,,,
energy and evnironmental engineering,physics,,,,,,design,TRUE,,,,,,,,,
transportation systems,mechanical_engineering,,,,,,energy and environmental science technology,TRUE,,,,,,,,,
data analytics,computer_science,,,,,,aeronautical engineering,TRUE,,,,,,,,,
agrotechnology and food sciences,life_sciences,,,,,,graphics design and communication,TRUE,,,,,,,,,
animal sciences,medicine,,,,,,information technology,TRUE,,,,,,,,,
business administration for sme,business_administration_economics,,,,,,chemical biology,TRUE,,,,,,,,,
international technical sales management,business_administration_economics,,,,,,media technology,TRUE,,,,,,,,,
renewable energies an energy management,environmental_studies_and_forestry,,,,,,furniture design,TRUE,,,,,,,,,
medical engineering and data science,medicine,,,,,,furniture conservation,TRUE,,,,,,,,,
modern materials,materials_science_and_engineering,,,,,,cabinetmaking,TRUE,,,,,,,,,
multimedia communication and documentation,journalism_media_studies_and_communication,,,,,,upholstery,TRUE,,,,,,,,,
software design,computer_science,,,,,,process industry management,TRUE,,,,,,,,,
electrical engineering and information technology (master),electrical_engineering,,,,,,product development,TRUE,,,,,,,,,
business administration and law,business_administration_economics,,,,,,programming,TRUE,,,,,,,,,
digital real estate management,business_administration_economics,,,,,,technology and social change,TRUE,,,,,,,,,
international real estate management,business_administration_economics,,,,,,engineering biology,TRUE,,,,,,,,,
business psychology,sociology,,,,,,applied physics and electrical engineering,TRUE,,,,,,,,,
business innovation,business_administration_economics,,,,,,transportation systems engineering,TRUE,,,,,,,,,
chemistry and applied biosciences,chemistry,,,,,,architektur und stadtplanung,TRUE,,,,,,,,,
faculty of arts and humanities,literature_arts,,,,,,bewegungswissenschaft,TRUE,,,,,,,,,
faculty of human sciences,medicine,,,,,,chemie- und bioingenieurwesen,TRUE,,,,,,,,,
faculty of law,law,,,,,,elektrotechnik und informationstechnik,TRUE,,,,,,,,,
"faculty of management, economics and social sciences",business_administration_economics,,,,,,erneuerbare energien,TRUE,,,,,,,,,
