FIELD OF STUDY NAME,CF FIELD OF STUDY RELATED ID,,,CF FIELD OF STUDY ID,CF FIELD OF STUDY NAME,,Latest Field of study 03/08/2022,Has been assigned,,LEVEL OF STUDY NAME,CF LEVEL OF STUDY RELATED ID,,CF LEVEL OF STUDY ID,CF LEVEL OF STUDY NAME,,Latest Level of study 03/08/2022,Has been assigned
"management, technology and economics",business_administration_economics,,,,,,"management, technology and economics",TRUE,,,,,,,,,
environmental systems sciences,environmental_studies_and_forestry,,,,,,environmental systems sciences,TRUE,,,,,,,,,
"humanities, social and political science",sociology,,,,,,"humanities, social and political science",TRUE,,,,,,,,,
accounting & finance,finance,,,,,,accounting & finance,TRUE,,,,,,,,,
sustainability,environmental_studies_and_forestry,,,,,,sustainability,TRUE,,,,,,,,,
physique,physics,,,,,,physique,TRUE,,,,,,,,,
sonstige,other,,,,,,sonstige,TRUE,,,,,,,,,
technical chemistry,chemistry,,,,,,technical chemistry,TRUE,,,,,,,,,
technical physics,physics,,,,,,technical physics,TRUE,,,,,,,,,
droit,law,,,,,,droit,TRUE,,,,,,,,,
economie,business_administration_economics,,,,,,economie,TRUE,,,,,,,,,
psychologie,psychology,,,,,,psychologie,TRUE,,,,,,,,,
"central institute of engineering, electronics and analytics (zea)",electrical_engineering,,,,,,"central institute of engineering, electronics and analytics (zea)",TRUE,,,,,,,,,
ernst ruska-centre for microscopy and spectroscopy with electrons (er-c),physics,,,,,,ernst ruska-centre for microscopy and spectroscopy with electrons (er-c),TRUE,,,,,,,,,
institute for advanced simulation (ias),computer_science,,,,,,institute for advanced simulation (ias),TRUE,,,,,,,,,
institute of bio- and geosciences (ibg),life_sciences,,,,,,institute of bio- and geosciences (ibg),TRUE,,,,,,,,,
institute of biological information processing (ibi),life_sciences,,,,,,institute of biological information processing (ibi),TRUE,,,,,,,,,
institute of energy and climate research (iek),earth_sciences,,,,,,institute of energy and climate research (iek),TRUE,,,,,,,,,
institute of neuroscience and medicine (inm),medicine,,,,,,institute of neuroscience and medicine (inm),TRUE,,,,,,,,,
jülich centre for neutron science (jcns),physics,,,,,,jülich centre for neutron science (jcns),TRUE,,,,,,,,,
nuclear physics institute (ikp),physics,,,,,,nuclear physics institute (ikp),TRUE,,,,,,,,,
peter grünberg institute (pgi),physics,,,,,,peter grünberg institute (pgi),TRUE,,,,,,,,,
health science,medicine,,,,,,health science,TRUE,,,,,,,,,
chemical and process engineering,chemistry,,,,,,chemical and process engineering,TRUE,,,,,,,,,
computer science and engineering,computer_science,,,,,,computer science and engineering,TRUE,,,,,,,,,
logistics,other,,,,,,logistics,TRUE,,,,,,,,,
wirtschaftswissenschaften,business_administration_economics,,,,,,wirtschaftswissenschaften,TRUE,,,,,,,,,
sozialwissenschaften,sociology,,,,,,sozialwissenschaften,TRUE,,,,,,,,,
philosophie,philosophy,,,,,,philosophie,TRUE,,,,,,,,,
verkehrsingenieurwesen,mechanical_engineering,,,,,,verkehrsingenieurwesen,TRUE,,,,,,,,,
digital humanities,computer_science,,,,,,digital humanities,TRUE,,,,,,,,,
applied mathematics,mathematics,,,,,,applied mathematics,TRUE,,,,,,,,,
systems engineering,computer_science,,,,,,systems engineering,TRUE,,,,,,,,,
it,computer_science,,,,,,it,TRUE,,,,,,,,,
biosystems science and engineering,life_sciences,,,,,,biosystems science and engineering,TRUE,,,,,,,,,
